Название страницы,Пользователь (Клиент),Администратор
Главная страница,Доступно. Просмотр промо-баннеров и акционных предложений (GET).,Просмотр публичной витрины.
Каталог товаров,"Доступно. Просмотр списка товаров, использование поиска, фильтрации по характеристикам (цоколь, форма и т.д.) пагинации (GET).",Просмотр публичной витрины.
Карточка товара,"Доступно. Просмотр подробных характеристик, фотографий, статуса наличия на складе и отзывов (GET).",Просмотр публичной витрины.
О компании / Контакты,Доступно. Просмотр статической информации о магазине при заводе и условиях курьерской доставки .,Просмотр публичной витрины.
Корзина,"Доступно. Управление списком покупок (изменение количества, удаление). Работает исключительно в Local Storage браузера без обращений к API.",Не применимо.
Оформление заказа,"Доступно. Заполнение формы (email, телефон) и отправка заказа в систему (POST). Личный кабинет при этом не создается .",Не применимо.
Авторизация (Login),Нет доступа. Перенаправление на главную страницу или ошибка 403.,"Доступно. Ввод логина и пароля, получение JWT-токена для работы с API (POST) ."
Админ-панель: Дашборд,Нет доступа. Эндпоинты защищены.,Доступно. Просмотр аналитики и базовой статистики по продажам (GET) . Реализовано через SQL-представления (Views) .
Админ-панель: Товары,Нет доступа. Эндпоинты защищены.,"Доступно. CRUD-операции: создание (POST), обновление цен/фото (PUT/PATCH), архивация/скрытие товара (PATCH) ."
Админ-панель: Импорт,Нет доступа. Эндпоинты защищены.,Доступно. Массовая загрузка данных о товарах списком из файла (POST) .
Админ-панель: Справочники,Нет доступа. Эндпоинты защищены.,"Доступно. Добавление новых типов ламп, форм, цоколей и поставщиков для фильтров (POST/PUT/DELETE) ."